PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,UGDS_WOMEN,OMAWDP6_FTFT_POOLED,OMAWDP6_FTFT_POOLED_binr,OMAWDP6_FTFT_POOLED_binq
0.33471647504108476,0.2606100075337349,0.20645602309127345,0.0,0.0,0.3535689263795015,0.32803856377829504,0.0,0.4921438757841805,0.42190367889171154,0.30616858866136537,0.0,0.2709886026170327,0.0,0.23633315009350025,0.39536312279057517,0.0,0.4561301054828798,0.0,0.0,0.0,0.0,0.0,0.0,0.32803856377829504,0.0,0.38574824967105903,0.3807556523926606,0.42190367889171154,0.2896468153816889,0.0,0.0,0.0,0.0,0.29813659788718455,0.0,0.5539658256754464,0.0,8.481566013773087,0.00064009,0.9680927557224709,0.2087759478663449,0.12385623296301708,0.12805791649874942,0.12385623296301708,0.21827857661222116,0.20723510980592608,0.32140011505870086,0.25592967784139453,10.038324342758338,9.196038587265322,9.811207776416833,20.974269317270853,8.895492631451633,19.113813641409543,0.8442748367682174,0.5775,0.6897835910286007,0,2
0.0,0.0,0.0,0.12805791649874942,0.32679480372687825,0.0,0.24158670891607184,0.0,0.4051419509521947,0.41173565221175745,0.0,0.13572088082974532,0.0,0.0,0.2591292368939624,0.26542828572755145,0.0,0.4259838797194463,0.22373778841627937,0.0,0.0,0.0,0.17967017791430526,0.0,0.2591292368939624,0.0,0.4016597700493017,0.3117555613369834,0.29851114174570076,0.32679480372687825,0.0,0.0,0.0,0.0,0.3304981762430041,0.629372012169974,0.5903072229320181,0.24384994805366567,9.46242117318499,0.33454656000000005,0.6370206572249462,0.32172248249150837,0.38885925700147694,0.14888055529538274,0.05848035476425732,0.3442601241452632,0.2691606306043642,0.19309787692112595,0.5014977567247934,10.091211158619078,9.02749867993534,9.853929593687784,22.64482709944246,9.75475549873573,21.994488977725336,0.9483142938920619,0.5958,0.8167809548969717,0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586227785961238,0.0,0.0,0.502652569531348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5414092136156642,0.0,0.0,0.0,0.4298070163405688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7041925265450657,0.0,5.777652323222656,0.00509796,0.5228102291438592,0.18370905500142276,0.14580997358267117,0.0,0.0,0.0,0.0,0.9190980448211571,0.7372245248226621,9.621190952360685,8.839421607620602,8.839421607620602,24.517688184580393,8.569026340056254,15.69473365228469,1.0,0.6366,0.7079368792610626,0,2
0.0,0.0,0.0,0.0,0.2750137734148282,0.0,0.422651405186008,0.0,0.3239611801277483,0.6632772413422066,0.0,0.23083502397536088,0.0,0.0,0.26637120052278024,0.0,0.0,0.38819680383281535,0.24215649100038203,0.0,0.09654893846056298,0.29433826584416684,0.1966095144983117,0.0,0.3148121833262887,0.0,0.24716804116889618,0.0,0.0,0.27892444522550996,0.0,0.0,0.0,0.0,0.2908339057595449,0.46723287283552595,0.6171880988617807,0.21827857661222116,8.841881989497114,0.5498222500000001,0.47518921362979,0.3590820233486073,0.34256423396101565,0.22239800905693155,0.1,0.29586931167705804,0.2884499140614817,0.14260431471424087,0.38678159211627433,10.00374004442522,9.238052810542719,9.974924102473977,20.58835550149903,9.184919994629272,21.097805301702884,0.8035546029984522,0.4195,0.7763936076656307,0,3
0.0,0.0,0.0,0.0,0.45290304230521344,0.0,0.3837215139404992,0.0,0.49664419418963435,0.0,0.0,0.0,0.0,0.0,0.2295770424665555,0.0,0.0,0.43933784700554834,0.2596247050925552,0.0,0.0,0.28924894837622245,0.0,0.0,0.2996291714390912,0.0,0.39853631728172073,0.43462468177328084,0.37108519971066006,0.2210418899184232,0.0,0.0,0.0,0.0,0.38973903207493155,0.5677411370845433,0.4797220613159684,0.13924766500838337,8.340456012916183,0.00021316,0.9788560857941513,0.21179117921274465,0.14580997358267117,0.11186889420813968,0.08879040017426007,0.22035754532216253,0.22035754532216253,0.22373778841627937,0.2776688675382964,9.873749734272172,9.311903687385623,9.872873693918292,20.80314917801395,8.9851948179913,19.48607377359071,0.7359347797189639,0.6219,0.6390676528399308,0,1
0.0,0.15036945962049747,0.0,0.14580997358267117,0.47161958239819707,0.0,0.20645602309127345,0.0,0.40412400206221905,0.47826922970174757,0.0,0.16868653306034984,0.3921381576045464,0.0,0.22571787177370006,0.0,0.0,0.3178105750548842,0.19746808222123668,0.0,0.2530297995905248,0.0,0.14260431471424087,0.0,0.2210418899184232,0.0,0.32648238020589837,0.2904392866781852,0.2302077517963147,0.3249112183528945,0.0,0.0,0.0,0.0,0.3014742251488785,0.4857299385299982,0.6692841541337069,0.2210418899184232,10.385543262806005,0.6157540899999999,0.46493119573956004,0.36113837181884034,0.22637023919259014,0.14736125994561547,0.1,0.3164849680939784,0.2525080871833849,0.15874010519681994,0.2814249455894058,10.2694145637968,9.285540604539118,10.243560441877241,23.8544430746264,9.29605924737872,21.555831095937346,0.8604649905719581,0.5557,0.8715812174210127,1,4
0.0,0.0,0.0,0.0,0.0,0.0,0.20487996145182663,0.17863159877080567,0.0,0.0,0.3976950771712433,0.0,0.27144176165949063,0.0,0.0,0.7224683798216898,0.0,0.0,0.0,0.0,0.364932119734404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28397394457782704,0.5156390721595647,0.0,0.0,0.5524409415248183,0.5296710905745101,0.0,7.247792581767846,0.49815363999999995,0.6411016183448889,0.246621207433047,0.14094597464129785,0.1709975946676697,0.0,0.18566355334451115,0.08879040017426007,0.08879040017426007,0.588387627334226,9.21492982430999,8.398634855292102,8.988570876215118,11.647132845117548,8.815666824946216,18.06560422456163,0.669776081985614,0.5983,0.5477039265919386,0,1
0.0,0.16631034988407659,0.0,0.0,0.32772850824025834,0.0,0.39083319568262054,0.0,0.4330306894031501,0.0,0.0,0.20953791063432944,0.0,0.0,0.2398610306579842,0.20953791063432944,0.0,0.38052558849834345,0.18271601368635207,0.0,0.24825450806124044,0.3875320819778509,0.0,0.0,0.24825450806124044,0.0,0.3942939906845331,0.3875320819778509,0.0,0.33707995297042376,0.0,0.0,0.0,0.0,0.3022059615754738,0.6204956148100467,0.5868432377146611,0.22035754532216253,8.345692873253865,0.24631369000000003,0.7264063072349811,0.2326966771450562,0.29472251989123094,0.17324782106818054,0.08879040017426007,0.3245951566569593,0.3304981762430041,0.18069688693211897,0.4811444689487763,9.898123190036978,8.989818381366925,9.749228533507058,20.57419082176009,8.921057018157429,19.589985165509297,0.9866610360199698,0.6417,0.5880024372459792,0,1
0.3527671800308133,0.25039936170122445,0.25039936170122445,0.0,0.37937107415598453,0.0,0.2139974961130159,0.0,0.3722915970127691,0.5668088839507935,0.0,0.2032792713629707,0.31681741053176704,0.0,0.2386966383854674,0.0,0.0,0.49200621315440174,0.20487996145182663,0.0,0.29433826584416684,0.0,0.14422495703074084,0.0,0.20723510980592608,0.0,0.3011070211007578,0.0,0.23083502397536088,0.31681741053176704,0.0,0.0,0.0,0.0,0.3191252149429954,0.38951946074278154,0.6173630636050618,0.21029437174614204,10.060149362549504,0.6691239999999999,0.3968502629920499,0.3233247125156311,0.2884499140614817,0.16386425412012917,0.07368062997280773,0.26304121142856257,0.32585573302196424,0.16005206638831554,0.28948229652260254,10.324136795969332,9.302828391411333,10.296913817032536,24.92188953773191,9.398312600278953,21.642286844492993,0.9246621004453465,0.4927,0.8967786067980934,1,4
0.0,0.26590057904691733,0.0,0.0,0.31106811575146376,0.0,0.0,0.0,0.4075643819136246,0.22440170265918302,0.0,0.1957433820584432,0.0,0.0,0.3656814691070697,0.0,0.0,0.5181343400169998,0.42209085889803,0.0,0.1957433820584432,0.0,0.246621207433047,0.0,0.3459394683999698,0.0,0.4722182749894331,0.0,0.0,0.4356808819940366,0.0,0.0,0.0,0.0,0.39192126698640417,0.0,0.6377590898689419,0.31106811575146376,7.157735484249907,0.62837329,0.49117861493405196,0.2615879154109254,0.3809854385995499,0.17651741676630314,0.0,0.20487996145182663,0.0,0.11696070952851464,0.09273618495495704,10.828559615417621,10.48584282744104,10.48584282744104,21.60735917509585,9.236787541991031,19.80986482547867,0.8136338242723197,0.516,0.8571711630863895,1,4
